,prob1,prob2,influence,multilinear_influence,absolute_error
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.05,0.131,0.13097,3.0000000000002247e-05
2,0.0,0.1,0.2656,0.26194,0.0036599999999999966
3,0.0,0.15000000000000002,0.389,0.3929100000000001,0.00391000000000008
4,0.0,0.2,0.5518,0.52388,0.027919999999999945
5,0.0,0.25,0.6706,0.65485,0.01574999999999993
6,0.0,0.30000000000000004,0.8238,0.7858200000000002,0.03797999999999979
7,0.0,0.35000000000000003,0.89,0.9167900000000001,0.02679000000000009
8,0.0,0.4,1.047,1.04776,0.0007600000000000939
9,0.0,0.45,1.229,1.17873,0.05027000000000004
10,0.0,0.5,1.328,1.3097,0.018299999999999983
11,0.0,0.55,1.4468,1.4406700000000001,0.006129999999999969
12,0.0,0.6000000000000001,1.591,1.5716400000000004,0.0193599999999996
13,0.0,0.65,1.7066,1.7026100000000002,0.003989999999999716
14,0.0,0.7000000000000001,1.823,1.8335800000000002,0.010580000000000256
15,0.0,0.75,1.9786,1.96455,0.014049999999999896
16,0.0,0.8,2.117,2.09552,0.021479999999999944
17,0.0,0.8500000000000001,2.2228,2.2264900000000005,0.003690000000000637
18,0.0,0.9,2.4012,2.35746,0.04373999999999967
19,0.0,0.9500000000000001,2.5368,2.48843,0.0483699999999998
20,0.0,1.0,2.6194,2.6194,0.0
21,0.05,0.0,0.2152,0.19078,0.024419999999999997
22,0.05,0.05,0.3382,0.319636,0.018564000000000025
23,0.05,0.1,0.4938,0.448492,0.045308000000000015
24,0.05,0.15000000000000002,0.5712,0.5773480000000001,0.006148000000000042
25,0.05,0.2,0.6788,0.706204,0.027404000000000095
26,0.05,0.25,0.7958,0.8350600000000001,0.039260000000000184
27,0.05,0.30000000000000004,0.9212,0.9639160000000001,0.04271600000000009
28,0.05,0.35000000000000003,1.1042,1.092772,0.011427999999999994
29,0.05,0.4,1.1874,1.221628,0.034227999999999925
30,0.05,0.45,1.4284,1.3504840000000002,0.07791599999999965
31,0.05,0.5,1.4594,1.47934,0.01994000000000007
32,0.05,0.55,1.6486,1.608196,0.040404000000000106
33,0.05,0.6000000000000001,1.8268,1.7370520000000003,0.08974799999999972
34,0.05,0.65,1.8626,1.865908,0.0033079999999998666
35,0.05,0.7000000000000001,1.9484,1.9947640000000002,0.046364000000000294
36,0.05,0.75,2.1222,2.12362,0.0014199999999999768
37,0.05,0.8,2.3402,2.252476,0.08772399999999969
38,0.05,0.8500000000000001,2.4246,2.3813320000000004,0.04326799999999942
39,0.05,0.9,2.5842,2.5101880000000003,0.07401199999999974
40,0.05,0.9500000000000001,2.7276,2.639044,0.08855599999999964
41,0.05,1.0,2.7804,2.7679,0.012500000000000178
42,0.1,0.0,0.3924,0.38156,0.010840000000000016
43,0.1,0.05,0.4958,0.508302,0.012502000000000013
44,0.1,0.1,0.6568,0.635044,0.021755999999999998
