,prob1,influence,multilinear_influence,absolute_error
0,0.0,0.0,0.0,0.0
1,0.01,0.0504,0.067264,0.016864000000000004
2,0.02,0.1426,0.134528,0.008071999999999996
3,0.03,0.2098,0.201792,0.008007999999999987
4,0.04,0.2984,0.269056,0.02934399999999998
5,0.05,0.353,0.33632,0.016679999999999973
6,0.06,0.3808,0.403584,0.02278399999999997
7,0.07,0.4526,0.47084800000000004,0.018248000000000042
8,0.08,0.4708,0.538112,0.06731200000000004
9,0.09,0.587,0.605376,0.01837600000000006
10,0.1,0.6488,0.67264,0.023839999999999972
11,0.11,0.7466,0.739904,0.006696000000000035
12,0.12,0.7312,0.807168,0.07596800000000004
13,0.13,0.9102,0.874432,0.03576800000000002
14,0.14,0.9468,0.9416960000000001,0.005103999999999886
15,0.15,0.9952,1.0089599999999999,0.013759999999999883
16,0.16,1.0608,1.076224,0.015424000000000104
17,0.17,1.1188,1.143488,0.024688000000000043
18,0.18,1.2138,1.210752,0.0030479999999999396
19,0.19,1.27,1.278016,0.008016000000000023
20,0.2,1.448,1.34528,0.10271999999999992
21,0.21,1.377,1.412544,0.03554400000000002
22,0.22,1.5286,1.479808,0.048791999999999947
23,0.23,1.5058,1.547072,0.041271999999999975
24,0.24,1.5996,1.614336,0.014736000000000082
25,0.25,1.637,1.6816,0.04459999999999997
26,0.26,1.7714,1.748864,0.02253600000000011
27,0.27,1.7422,1.8161280000000002,0.07392800000000022
28,0.28,1.8604,1.8833920000000002,0.022992000000000123
29,0.29,1.926,1.950656,0.02465600000000001
30,0.3,1.9828,2.0179199999999997,0.03511999999999982
31,0.31,2.0552,2.085184,0.02998399999999979
32,0.32,2.1166,2.152448,0.0358480000000001
33,0.33,2.182,2.219712,0.03771199999999997
34,0.34,2.3252,2.286976,0.038224000000000036
35,0.35000000000000003,2.3566,2.3542400000000003,0.0023599999999994736
36,0.36,2.4504,2.421504,0.028896000000000033
37,0.37,2.4802,2.488768,0.008567999999999909
38,0.38,2.5262,2.556032,0.029832000000000303
39,0.39,2.565,2.623296,0.0582959999999999
40,0.4,2.6688,2.69056,0.02176
41,0.41000000000000003,2.737,2.7578240000000003,0.020824000000000176
42,0.42,2.844,2.825088,0.018911999999999818
43,0.43,2.906,2.892352,0.013648000000000327
44,0.44,2.867,2.959616,0.09261600000000003
45,0.45,3.0022,3.0268800000000002,0.024680000000000035
46,0.46,3.1358,3.094144,0.04165600000000014
47,0.47000000000000003,3.0742,3.161408,0.0872080000000004
48,0.48,3.1384,3.228672,0.09027200000000013
49,0.49,3.4632,3.2959359999999998,0.1672640000000003
50,0.5,3.2696,3.3632,0.0935999999999999
51,0.51,3.4578,3.430464,0.027336000000000027
52,0.52,3.5076,3.497728,0.009872000000000103
53,0.53,3.506,3.564992,0.05899200000000038
54,0.54,3.6048,3.6322560000000004,0.02745600000000037
55,0.55,3.527,3.69952,0.17252
56,0.56,3.8912,3.7667840000000004,0.12441599999999964
57,0.5700000000000001,3.7566,3.8340480000000006,0.0774480000000004
58,0.58,3.983,3.901312,0.0816880000000002
59,0.59,3.9402,3.9685759999999997,0.028375999999999735
60,0.6,4.0386,4.035839999999999,0.0027600000000003178
61,0.61,4.1828,4.103104,0.07969600000000021
62,0.62,4.2194,4.170368,0.04903200000000041
63,0.63,4.2714,4.237632,0.03376800000000024
64,0.64,4.2694,4.304896,0.035496000000000194
65,0.65,4.3296,4.37216,0.04255999999999993
66,0.66,4.4684,4.439424,0.028976000000000113
67,0.67,4.5702,4.5066880000000005,0.06351199999999935
68,0.68,4.6548,4.573952,0.08084799999999959
69,0.6900000000000001,4.7052,4.641216,0.0639839999999996
70,0.7000000000000001,4.713,4.708480000000001,0.004519999999999413
71,0.71,4.7128,4.7757439999999995,0.06294399999999989
72,0.72,4.811,4.843008,0.03200800000000026
73,0.73,4.8864,4.910272,0.023871999999999893
74,0.74,4.9612,4.977536,0.016335999999999906
75,0.75,5.1488,5.0448,0.1039999999999992
76,0.76,5.0818,5.112064,0.030263999999999847
77,0.77,5.2226,5.179328,0.04327199999999998
78,0.78,5.2392,5.246592,0.007391999999999399
79,0.79,5.3314,5.313856,0.017544000000000004
80,0.8,5.4058,5.38112,0.024680000000000035
81,0.81,5.4818,5.448384,0.03341599999999989
82,0.8200000000000001,5.495,5.5156480000000006,0.020648000000000444
83,0.8300000000000001,5.5408,5.582912,0.04211200000000037
84,0.84,5.6632,5.650176,0.013023999999999702
85,0.85,5.646,5.71744,0.07143999999999995
86,0.86,5.7578,5.784704,0.02690400000000004
87,0.87,5.7902,5.851968,0.06176800000000071
88,0.88,5.846,5.919232,0.07323199999999996
89,0.89,5.9672,5.986496,0.019295999999999758
90,0.9,6.068,6.0537600000000005,0.014239999999999142
91,0.91,6.1996,6.121024,0.07857599999999998
92,0.92,6.141,6.188288,0.047288
93,0.93,6.264,6.255552000000001,0.008447999999999567
94,0.9400000000000001,6.3162,6.322816,0.006616000000000177
95,0.9500000000000001,6.4026,6.39008,0.01251999999999942
96,0.96,6.4572,6.457344,0.00014399999999969992
97,0.97,6.5022,6.524608,0.02240799999999954
98,0.98,6.5722,6.5918719999999995,0.019671999999999912
99,0.99,6.6766,6.659136,0.01746399999999948
100,1.0,6.7264,6.7264,0.0
